keyword,search_volume,position,etv,cpc,competition,intent,url,serp_features
yd8 form football,70,16,0.41,,0,informational,https://www.footballparent.co.uk/academy-pathway/how-academy-football-works,ai_overview organic people_also_ask related_searches
category 1 academies list,70,18,0.39,,0,navigational,https://www.footballparent.co.uk/academy-pathway/academy-categories-explained,ai_overview organic people_also_ask images related_searches
what does grassroots football mean,70,18,0.39,,0,informational,https://www.footballparent.co.uk/parent-guides/what-is-grassroots-football,ai_overview people_also_ask organic video related_searches
category 4 academy,70,17,0.36,,0,informational,https://www.footballparent.co.uk/academy-pathway/academy-categories-explained,ai_overview organic related_searches images
list of category 1 academies,70,18,0.36,,0,navigational,https://www.footballparent.co.uk/academy-pathway/academy-categories-explained,ai_overview organic people_also_ask related_searches
cat 4 academies,70,19,0.30,,0,informational,https://www.footballparent.co.uk/academy-pathway/academy-categories-explained,ai_overview organic images related_searches
best football for training,70,23,0.30,1.2599999904632568,0.9900000095367432,informational,https://www.footballparent.co.uk/football-gear/best-footballs-by-age,ai_overview organic video popular_products discussions_and_forums related_searches images
crystal palace football academy,70,23,0.23,1.5499999523162842,0.20999999344348907,navigational,https://www.footballparent.co.uk/academy-pathway/crystal-palace-development-centre-guide,organic local_pack people_also_ask related_searches images
jpl meaning,70,21,0.23,,0,informational,https://www.footballparent.co.uk/parent-guides/what-is-the-junior-premier-league,ai_overview people_also_ask organic related_searches
football sizes for age groups,70,23,0.19,0.3400000035762787,0.4399999976158142,informational,https://www.footballparent.co.uk/football-gear/best-footballs-by-age,ai_overview organic images related_searches
footballs for 8 year olds,70,31,0.19,1.1399999856948853,0.9900000095367432,transactional,https://www.footballparent.co.uk/football-gear/best-footballs-by-age,popular_products compare_sites people_also_ask ai_overview organic discussions_and_forums related_searches images
player development centres,70,25,0.16,,0.09000000357627869,informational,https://www.footballparent.co.uk/academy-pathway/crystal-palace-development-centre-guide,ai_overview organic people_also_ask related_searches
u10 football size,70,28,0.16,0.6000000238418579,0.8899999856948853,informational,https://www.footballparent.co.uk/football-gear/best-footballs-by-age,ai_overview people_also_ask organic images related_searches
pdc football,70,27,0.15,,0,informational,https://www.footballparent.co.uk/academy-pathway/uk-football-development-centres-explained,ai_overview organic people_also_ask related_searches images
player development centre,70,29,0.15,,0.09000000357627869,navigational,https://www.footballparent.co.uk/academy-pathway/uk-football-development-centres-explained,ai_overview organic people_also_ask related_searches images
best footballs size 5,70,44,0.15,0.5899999737739563,0.9800000190734863,commercial,https://www.footballparent.co.uk/football-gear/best-footballs-by-age,ai_overview organic popular_products compare_sites discussions_and_forums related_searches
how to get into an academy,70,35,0.15,1.5499999523162842,0.18000000715255737,informational,https://www.footballparent.co.uk/academy-pathway/how-academy-football-works,ai_overview organic video short_videos related_searches
players academy,70,32,0.15,1.2799999713897705,0.009999999776482582,navigational,https://www.footballparent.co.uk/academy-pathway,organic people_also_ask related_searches google_reviews knowledge_graph images
premier league pma,70,38,0.15,,0,informational,https://www.footballparent.co.uk/academy-pathway/premier-league-development-centres-list,organic ai_overview related_searches
new fa rules for grassroots football 25 26,70,46,0.15,,,informational,https://www.footballparent.co.uk/football-development/new-fa-youth-football-format,ai_overview organic images people_also_ask related_searches
grassroots team,70,45,0.15,7.300000190734863,0.009999999776482582,navigational,https://www.footballparent.co.uk/parent-guides/what-is-grassroots-football,ai_overview organic related_searches images
grassroots football uk,70,51,0.15,11.520000457763672,0.03999999910593033,informational,https://www.footballparent.co.uk/parent-guides/what-is-grassroots-football,organic related_searches
grassroots football meaning,70,54,0.15,,0,informational,https://www.footballparent.co.uk/parent-guides/what-is-grassroots-football,ai_overview organic related_searches
trials for football teams,70,55,0.15,1.4600000381469727,0.3499999940395355,informational,https://www.footballparent.co.uk/academy-trials,ai_overview organic people_also_ask related_searches
new fa rules for grassroots football 25/26,70,57,0.15,,,informational,https://www.footballparent.co.uk/football-development/new-fa-youth-football-format,ai_overview organic people_also_ask related_searches
junior premier league logo,50,7,1.69,,0,informational,https://www.footballparent.co.uk/parent-guides/what-is-the-junior-premier-league,images organic related_searches
jpl junior premier league,50,10,0.75,,0,informational,https://www.footballparent.co.uk/parent-guides/what-is-the-junior-premier-league,organic related_searches
jpl rules,50,17,0.25,,0,informational,https://www.footballparent.co.uk/parent-guides/what-is-the-junior-premier-league,organic ai_overview related_searches
veo go price,50,20,0.22,0.11999999731779099,0.11999999731779099,commercial,https://www.footballparent.co.uk/football-gear/veo-camera-alternatives,ai_overview organic people_also_ask related_searches popular_products
football academy categories,50,27,0.10,,0,informational,https://www.footballparent.co.uk/academy-pathway/academy-categories-explained,ai_overview organic related_searches images
category 2 academies list,50,28,0.10,,0,navigational,https://www.footballparent.co.uk/academy-pathway/academy-categories-explained,organic ai_overview related_searches
category 2 academy list,50,28,0.10,,0,informational,https://www.footballparent.co.uk/academy-pathway/academy-categories-explained,ai_overview organic related_searches images
grass routes football,50,31,0.10,,0.019999999552965164,informational,https://www.footballparent.co.uk/parent-guides/what-is-grassroots-football,ai_overview organic related_searches images
best size 4 footballs,50,46,0.10,0.6399999856948853,1,commercial,https://www.footballparent.co.uk/football-gear/best-footballs-by-age,ai_overview organic discussions_and_forums compare_sites popular_products related_searches
pathway development centre,50,36,0.10,,0.009999999776482582,navigational,https://www.footballparent.co.uk/academy-pathway,organic related_searches images
pre academy,50,50,0.10,,0.029999999329447746,informational,https://www.footballparent.co.uk/academy-pathway,ai_overview organic people_also_ask related_searches knowledge_graph google_reviews images
what football equipment do you need,50,70,0.10,,0.029999999329447746,informational,https://www.footballparent.co.uk/football-gear,ai_overview people_also_ask organic video related_searches
jpl #football teams,40,20,0.13,,0.009999999776482582,informational,https://www.footballparent.co.uk/parent-guides/what-is-the-junior-premier-league,organic ai_overview related_searches
under 10 football size,40,36,0.08,0.5099999904632568,1,informational,https://www.footballparent.co.uk/football-gear/best-footballs-by-age,ai_overview people_also_ask organic images related_searches
player pathways in football,40,49,0.08,,0.009999999776482582,informational,https://www.footballparent.co.uk/academy-pathway,ai_overview organic people_also_ask video related_searches
parents player,40,57,0.08,,0.9300000071525574,navigational,https://www.footballparent.co.uk/parent-guides,ai_overview organic related_searches
