domain_from,domain_from_rank,url_from,page_from_title,url_to,anchor,dofollow,is_lost,first_seen,last_seen,item_type,backlink_spam_score,is_indirect_link
www.fourfourtwo.com,458,https://www.fourfourtwo.com/features/newsletter-280510,Newsletter 280510 | FourFourTwo,https://www.grassrootsfootball.co.uk/fftpreview,preview,true,false,2023-11-20 13:15:02 +00:00,2026-08-30 00:24:59 +00:00,anchor,0,false
www.fourfourtwo.com,458,https://www.fourfourtwo.com/features/newsletter-280510,Newsletter 280510 | FourFourTwo,https://www.grassrootsfootball.co.uk/fftexhib,exhibitor list,true,false,2023-11-20 13:15:02 +00:00,2026-08-30 00:24:59 +00:00,anchor,0,false
www.fourfourtwo.com,458,https://www.fourfourtwo.com/features/newsletter-280510,Newsletter 280510 | FourFourTwo,https://www.grassrootsfootball.co.uk/fftppass,Premier Pass,true,false,2023-11-20 13:15:02 +00:00,2026-08-30 00:24:59 +00:00,anchor,0,false
www.fourfourtwo.com,457,https://www.fourfourtwo.com/performance/training/building-confidence-young-players,Building confidence in young players | FourFourTwo,https://www.grassrootsfootball.co.uk/,www.grassrootsfootball.co.uk,true,false,2023-10-13 21:45:30 +00:00,2026-08-28 02:59:42 +00:00,anchor,0,false
www.fourfourtwo.com,457,https://www.fourfourtwo.com/performance/training/savage-rattle-opposition,Savage: Rattle the opposition | FourFourTwo,https://www.grassrootsfootball.co.uk/,www.grassrootsfootball.co.uk,true,false,2023-10-13 22:10:51 +00:00,2026-08-28 02:55:02 +00:00,anchor,0,false
www.fourfourtwo.com,457,https://www.fourfourtwo.com/performance/training/getting-best-out-young-players,Getting the best out of young players | FourFourTwo,https://www.grassrootsfootball.co.uk/,www.grassrootsfootball.co.uk,true,false,2023-10-13 22:11:51 +00:00,2026-08-28 02:54:52 +00:00,anchor,0,false
www.fourfourtwo.com,457,https://www.fourfourtwo.com/news/brooking-launches-grass-roots-football-show,Brooking launches Grass Roots Football Show | FourFourTwo,https://www.grassrootsfootball.co.uk/,www.grassrootsfootball.co.uk,true,false,2023-10-13 20:28:16 +00:00,2026-08-28 02:50:31 +00:00,anchor,0,false
www.fourfourtwo.com,457,https://www.fourfourtwo.com/performance/training/staying-confident-during-goal-drought,Staying confident during a goal-drought | FourFourTwo,https://www.grassrootsfootball.co.uk/,www.grassrootsfootball.co.uk,true,false,2020-08-04 00:23:09 +00:00,2026-08-27 00:23:01 +00:00,anchor,0,false
www.fourfourtwo.com,457,https://www.fourfourtwo.com/performance/training/savage-developing-self-belief,Savage: Developing self-belief | FourFourTwo,https://www.grassrootsfootball.co.uk/,www.grassrootsfootball.co.uk,true,false,2023-03-27 00:16:07 +00:00,2026-08-26 14:53:27 +00:00,anchor,0,false
www.fourfourtwo.com,457,https://www.fourfourtwo.com/performance/tactics/iain-dowie-getting-most-out-sub,Iain Dowie: Getting the most out of a sub | FourFourTwo,https://www.grassrootsfootball.co.uk/,www.grassrootsfootball.co.uk,true,false,2023-10-13 20:09:45 +00:00,2026-08-26 14:51:13 +00:00,anchor,0,false
